Date,Product,Sales_USD,Units_Sold,Region
2026-01-01,Laptop,1057.8359780963124,3,North
2026-01-02,Tablet,671.5114927516505,9,South
2026-01-03,Tablet,399.11262460607065,2,North
2026-01-04,Smartphone,955.0634759465601,8,West
2026-01-05,Smartwatch,683.2736440332302,8,West
2026-01-06,Laptop,685.8657180786182,8,North
2026-01-07,Smartwatch,218.61898042076973,6,North
2026-01-08,Tablet,462.26746071662376,6,South
2026-01-09,Smartwatch,696.2643527355435,2,East
2026-01-10,Smartwatch,330.78235794766846,7,West
2026-01-11,Smartwatch,485.07780382271307,7,South
2026-01-12,Smartphone,1178.5078927718719,1,North
2026-01-13,Laptop,275.0573349527359,4,South
2026-01-14,Laptop,531.9519311780421,5,West
2026-01-15,Tablet,1326.5971934231716,7,South
2026-01-16,Laptop,1453.3675813367847,6,East
2026-01-17,Laptop,1449.2962090952653,1,East
2026-01-18,Smartphone,503.7757591368972,2,East
2026-01-19,Smartphone,725.7574432382057,2,West
2026-01-20,Smartphone,1362.767720837056,8,East
2026-01-21,Tablet,295.3375876817759,5,South
2026-01-22,Laptop,919.1725813694867,1,West
2026-01-23,Laptop,1258.5542857382263,7,West
2026-01-24,Smartphone,655.1189162548409,5,East
2026-01-25,Smartwatch,1160.8597247190096,7,West
2026-01-26,Smartwatch,983.1559570379337,9,West
2026-01-27,Laptop,1454.055998666025,5,West
2026-01-28,Smartwatch,744.7643595690264,2,North
2026-01-29,Smartphone,120.23174062596549,8,North
2026-01-30,Smartphone,287.4864372027225,9,West
2026-01-31,Tablet,1337.2173242853996,9,East
2026-02-01,Smartphone,560.0454720143971,2,West
2026-02-02,Smartphone,908.527425067997,4,South
2026-02-03,Tablet,567.8785067633505,4,North
2026-02-04,Tablet,657.3995665748992,8,North
2026-02-05,Laptop,351.9158574296552,8,North
2026-02-06,Smartphone,1494.4752392261628,1,East
2026-02-07,Smartwatch,149.5766430944598,4,East
2026-02-08,Tablet,1061.4808965875536,7,North
2026-02-09,Smartphone,752.2259954862917,8,East
2026-02-10,Smartphone,1446.1646751608855,3,West
2026-02-11,Smartwatch,743.057150852811,3,West
2026-02-12,Tablet,1405.818865570184,4,South
2026-02-13,Laptop,776.3637946406141,7,North
2026-02-14,Smartwatch,106.37494790290394,4,North
2026-02-15,Smartphone,536.4337687784267,5,West
2026-02-16,Tablet,748.6905287207779,7,North
2026-02-17,Smartphone,387.6339054629555,2,West
2026-02-18,Smartphone,616.8319029353752,1,South
2026-02-19,Tablet,547.4562703358122,7,North
2026-02-20,Smartwatch,443.8870845011191,7,West
2026-02-21,Smartwatch,1353.6580273879727,1,North
2026-02-22,Smartwatch,1274.360019259166,2,South
2026-02-23,Smartwatch,1131.4477431996283,3,East
2026-02-24,Smartwatch,627.9997900523375,2,South
2026-02-25,Smartwatch,1258.5383471606958,3,North
2026-02-26,Laptop,1326.994824781626,2,North
2026-02-27,Tablet,535.3370972488372,7,East
2026-02-28,Laptop,1168.3392710683468,9,West
2026-03-01,Laptop,627.8881582070402,2,West
2026-03-02,Smartwatch,596.2362605553433,5,South
2026-03-03,Laptop,514.6150909519276,8,West
2026-03-04,Smartwatch,958.0511538819654,9,East
2026-03-05,Smartwatch,278.34987455766225,4,West
2026-03-06,Smartphone,120.4900994156249,9,East
2026-03-07,Smartwatch,1109.269158690479,3,East
2026-03-08,Laptop,359.71015814599565,3,West
2026-03-09,Tablet,1225.5468148237082,3,North
2026-03-10,Smartphone,155.60189236399515,8,East
2026-03-11,Tablet,1477.999449274219,1,East
2026-03-12,Smartwatch,528.3788714136931,1,West
2026-03-13,Smartphone,266.9994608004399,6,West
2026-03-14,Tablet,425.4174966601849,5,West
2026-03-15,Smartwatch,980.3818281406254,3,South
2026-03-16,Smartwatch,1128.1133765306342,4,North
2026-03-17,Laptop,738.7561709537835,5,West
2026-03-18,Smartwatch,1406.0060466910993,7,North
2026-03-19,Smartphone,125.38054632361468,6,East
2026-03-20,Smartwatch,755.404723529404,7,North
2026-03-21,Smartwatch,357.1619662539268,8,South
2026-03-22,Smartwatch,1013.1122997143339,5,North
2026-03-23,Smartphone,1216.6080855040855,1,East
2026-03-24,Tablet,604.2797223858317,4,East
2026-03-25,Laptop,1134.8814087646717,8,South
2026-03-26,Smartphone,331.3355032795894,7,East
2026-03-27,Smartwatch,1174.287505258784,3,East
2026-03-28,Smartphone,1393.6322364318041,4,East
2026-03-29,Smartphone,1069.0637330855361,1,North
2026-03-30,Tablet,295.96788254726704,4,East
2026-03-31,Tablet,162.0316803676552,5,West
2026-04-01,Tablet,154.39966261154808,6,West
2026-04-02,Tablet,1232.677454655726,7,West
2026-04-03,Smartwatch,600.6471937748116,4,South
2026-04-04,Laptop,964.4077313406453,2,East
2026-04-05,Tablet,1070.1353598162702,1,West
2026-04-06,Smartphone,881.5757897041171,6,East
2026-04-07,Smartphone,369.7313617379907,1,North
2026-04-08,Laptop,1235.8703957869668,3,South
2026-04-09,Smartwatch,1138.3774682635978,1,East
2026-04-10,Laptop,1353.944707327083,1,East
